DATE,GEAR, SPECIES,TL_MM,FL_MM,WEIGHT_G,WEIGHT_SOURCE,SAMPLED_FOR_DIET,FISH_ID,NOTES
6/13/2014,SEINE,SUC,31,29,,,N,,
6/14/2014,HOOP,HBC,293,261,188.1,FIELD,Y,HBC.6.21,
6/13/2014,SEINE,SUC,29,28,,,N,,
6/14/2014,HOOP,HBC,236,215,94.6,FIELD,Y,HBC.6.22,
6/13/2014,SEINE,SUC,46,43,,,N,,
6/13/2014,SEINE,SUC,33,32,,,N,,
6/13/2014,SEINE,SUC,28,26,,,N,,
6/13/2014,SEINE,SUC,21,19,,,N,,
6/13/2014,SEINE,SUC,40,38,,,N,,
6/13/2014,SEINE,SUC,30,28,,,N,,
6/13/2014,SEINE,SUC,27,25,,,N,,
6/13/2014,SEINE,SUC,38,30,,,N,,
6/14/2014,HOOP,HBC,195,170,49.6,FIELD,Y,HBC.6.23,
6/13/2014,SEINE,SUC,40,37,,,N,,
6/13/2014,SEINE,SUC,39,37,,,N,,
6/13/2014,SEINE,SUC,45,41,,,N,,
6/13/2014,SEINE,SUC,31,29,,,N,,
6/13/2014,SEINE,SUC,32,30,,,N,,
6/13/2014,SEINE,SUC,27,25,,,N,,
6/13/2014,HOOP,HBC,43,38,0.3,FIELD,N,,
6/13/2014,HOOP,HBC,98,89,6.6,FIELD,N,,
6/13/2014,HOOP,HBC,51,45,1.1,FIELD,N,,
6/13/2014,HOOP,SUC,38,36,,,N,,
6/14/2014,HOOP,HBC,220,193,67.2,FIELD,Y,HBC.6.24,
6/14/2014,HOOP,HBC,210,188,65.6,FIELD,Y,HBC.6.25,
6/13/2014,HOOP,HBC,52,46,1.1,FIELD,N,,
6/13/2014,HOOP,HBC,47,41,0.6,FIELD,N,,
6/13/2014,HOOP,SPD,86,79,5.7,FIELD,Y,SPD.6.19,
6/13/2014,HOOP,HBC,98,89,6.5,FIELD,N,,
6/13/2014,HOOP,HBC,119,106,11.7,FIELD,Y,HBC.6.19,
6/13/2014,HOOP,HBC,135,119,17.5,FIELD,Y,HBC.6.20,
6/14/2014,SEINE,SUC,39,36,,,N,,
6/14/2014,SEINE,SUC,35,31,,,N,,
6/14/2014,SEINE,SUC,30,27,,,N,,
6/14/2014,SEINE,SUC,35,33,,,N,,
6/14/2014,SEINE,SUC,36,33,,,N,,
6/14/2014,SEINE,SUC,29,27,,,N,,
6/14/2014,HOOP,HBC,195,170,48.9,FIELD,Y,HBC.6.26,
6/14/2014,SEINE,SUC,37,,,,N,,
6/14/2014,SEINE,SUC,36,,,,N,,
6/14/2014,SEINE,SUC,37,,,,N,,
6/14/2014,SEINE,SUC,42,,,,N,,
6/14/2014,SEINE,SUC,27,,,,N,,
6/14/2014,SEINE,SUC,22,,,,N,,
6/14/2014,HOOP,HBC,184,164,45.2,FIELD,Y,HBC.6.27,
6/14/2014,SEINE,SUC,37,,,,N,,
6/14/2014,SEINE,SUC,25,,,,N,,
6/14/2014,SEINE,SUC,35,,,,N,,
6/14/2014,SEINE,HBC,42,37,,,N,,
6/14/2014,SEINE,SUC,36,,,,N,,
6/14/2014,SEINE,SUC,38,,,,N,,
6/14/2014,SEINE,SUC,37,,,,N,,
6/14/2014,SEINE,SUC,35,,,,N,,
6/14/2014,SEINE,SUC,37,,,,N,,
6/14/2014,SEINE,SUC,32,,,,N,,
6/14/2014,SEINE,SUC,29,,,,N,,
6/14/2014,SEINE,SUC,36,,,,N,,
6/14/2014,SEINE,SUC,29,,,,N,,
6/14/2014,SEINE,SUC,27,,,,N,,
6/14/2014,SEINE,SUC,26,,,,N,,
6/14/2014,SEINE,SUC,34,,,,N,,
6/14/2014,SEINE,SUC,33,,,,N,,
6/14/2014,SEINE,SUC,35,,,,N,,
6/14/2014,SEINE,SUC,34,,,,N,,
6/14/2014,SEINE,SUC,29,,,,N,,
6/14/2014,SEINE,HBC,46,42,,,N,,
6/14/2014,HOOP,HBC,220,188,73.3,FIELD,Y,HBC.6.28,
6/14/2014,SEINE,SUC,32,,,,N,,
6/14/2014,SEINE,SUC,31,,,,N,,
6/14/2014,SEINE,SUC,37,,,,N,,
